mass_A
t,x,y
1.312312500E2,1.638861431E-1,1.488199492E-1
1.312354167E2,1.660616608E-1,1.482220381E-1
1.312395833E2,1.679650630E-1,1.477101455E-1
1.312437500E2,1.712318546E-1,1.465876876E-1
1.312479167E2,1.736780817E-1,1.459939945E-1
1.312520833E2,1.758718776E-1,1.442230091E-1
1.312562500E2,1.785098258E-1,1.429102362E-1
1.312604167E2,1.809658950E-1,1.416848877E-1
1.312645833E2,1.832485213E-1,1.400055448E-1
1.312687500E2,1.861529610E-1,1.389676994E-1
1.312729167E2,1.891588852E-1,1.372093681E-1
1.312770833E2,1.920703548E-1,1.357203403E-1
1.312812500E2,1.940865504E-1,1.343286227E-1
1.312854167E2,1.971488713E-1,1.324053086E-1
1.312895833E2,2.003651348E-1,1.303327755E-1
1.312937500E2,2.032758748E-1,1.284070996E-1
1.312979167E2,2.062706716E-1,1.259520716E-1
1.313020833E2,2.090321926E-1,1.238724530E-1
1.313062500E2,2.118683231E-1,1.218698057E-1
1.313104167E2,2.148737483E-1,1.187326639E-1
1.313145833E2,2.179478783E-1,1.160514456E-1
1.313187500E2,2.218686931E-1,1.125495228E-1
1.313229167E2,2.246514707E-1,1.091056766E-1
1.313270833E2,2.278866290E-1,1.058204967E-1
1.313312500E2,2.308186256E-1,1.025305932E-1
1.313354167E2,2.350485067E-1,9.865444196E-2
1.313395833E2,2.378336461E-1,9.505901490E-2
1.313437500E2,2.408544232E-1,9.093659765E-2
1.313479167E2,2.447870473E-1,8.667677062E-2
1.313520833E2,2.472796533E-1,8.239450607E-2
1.313562500E2,2.502788056E-1,7.832038917E-2
1.313608333E2,2.538922313E-1,7.232937921E-2
1.313650000E2,2.565793899E-1,6.785832936E-2
1.313691667E2,2.593891233E-1,6.131324639E-2
1.313733333E2,2.625274643E-1,5.684922660E-2
1.313775000E2,2.648677371E-1,5.147018786E-2
1.313816667E2,2.679355258E-1,4.574145128E-2
1.313858333E2,2.709060480E-1,4.046249111E-2
1.313900000E2,2.731771745E-1,3.372849911E-2
1.313941667E2,2.755343194E-1,2.726662256E-2
1.313983333E2,2.771695725E-1,2.079349793E-2
1.314025000E2,2.791927272E-1,1.443639038E-2
1.314066667E2,2.812601138E-1,8.252279766E-3
1.314108333E2,2.828194049E-1,6.198846844E-4
1.314150000E2,2.842094013E-1,-5.878015915E-3
1.314191667E2,2.859210010E-1,-1.372936479E-2
1.314233333E2,2.869442828E-1,-2.147564228E-2
1.314275000E2,2.877913097E-1,-2.949544124E-2
1.314316667E2,2.892615560E-1,-3.696397922E-2
1.314358333E2,2.893852850E-1,-4.490478980E-2
1.314400000E2,2.904015368E-1,-5.219988487E-2
1.314441667E2,2.903377628E-1,-5.969232505E-2
1.314483333E2,2.906588369E-1,-6.871316141E-2
1.314525000E2,2.905992810E-1,-7.647631104E-2
1.314566667E2,2.909662097E-1,-8.463607255E-2
1.314608333E2,2.902821600E-1,-9.275176703E-2
1.314650000E2,2.899130230E-1,-1.015717454E-1
1.314691667E2,2.898382817E-1,-1.097792589E-1
1.314733333E2,2.894494294E-1,-1.183724698E-1
1.314775000E2,2.882056558E-1,-1.261243494E-1
1.314816667E2,2.866646252E-1,-1.342599048E-1
